Nomor laporan,Keterangan Laporan,Foto Laporan,Status laporan,Tanggal lapor,Tanggal ditindaklanjuti,Kategori,Lat,Lng,Kelurahan,Kecamatan,Kota,Provinsi,Day,,,
1057588,"Trotoarnya udah ilang dijadiin tempat gerobak, bisa dibuat trotoar lagi gak untuk pejalan kaki #trotoar #atassaluran",http://lh3.googleusercontent.com/U_1OtEMoZsttBLRFOHPnfWwrHBl-97m40JDpAtHsv8GVAO_sdP8D-W6DDQu9MBhimagdG852o2KDX9BDWHlVOmW6OBUr=s480-c,complete,07/10/2017,10/10/2017,Kaki Lima Liar,-6.19675,106.840385,Cikini,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday,,,
1058698,Belum selesai trotoar sudah di pakai dagang,http://lh3.googleusercontent.com/wO3QB_ZpcSaC-E9jmATlrlbc4OX8klp-LWjpfwPZMphw3ens1DY3w0d5H3dF8gYT2w17p500JPeKgShqBCh9mW3MbExp=s480-c,complete,09/10/2017,09/10/2017,Kaki Lima Liar,-6.184036,106.856003,Johar Baru,Johar Baru,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday,,,
1061354,#trotoar jalan raya PKL msada,http://lh3.googleusercontent.com/AISfA2X90cdi43wgAq-1ZrmdLMlrVZjNcj3DWfqlBFWztrXPBXvbeMqslpg-0cIj_Et9qqsRHgZThJ_l2YFoUZNTalwR=s480-c,complete,13/10/2017,14/10/2017,Kaki Lima Liar,-6.161674,106.866081,Sumur Batu,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1061355,#trotoar jalan raya masiada pkl,http://lh3.googleusercontent.com/H853U9hVUf-uWKAHxDGk8F-1ZLIOoFxGIsADnwuOUZ8ysICHAeXAlFI47snEjCaqbOZz5kD92okGHLW93fk6qU55QYbR=s480-c,complete,13/10/2017,14/10/2017,Kaki Lima Liar,-6.161918,106.865997,Sumur Batu,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1061356,#trotoar jalan raya pkl masiada,http://lh3.googleusercontent.com/DoPBMjvip-IRmLvXD0RhCIUOnxOQK-5EHIBsbPEF8dkJZdKK2Y-JC9gtAqKK9OOJNxAXd88_afxOVEbWqxxEYJ-t80xd=s480-c,complete,13/10/2017,21/11/2017,Kaki Lima Liar,-6.162177,106.865868,Sumur Batu,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1061359,Pkl #trotoar jalan raya tambah banyak,http://lh3.googleusercontent.com/26msxZJCyMdf9mpm-WNLY1n5-By5U6piQ9JCVnDGSrUaUVVY8Yt56Qj1DAEXhstw5ocqz_Cv-ivEFwHQ1EEm4HN-5_kN=s480-c,complete,13/10/2017,14/10/2017,Kaki Lima Liar,-6.162229,106.865814,Sumur Batu,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1061363,#trotoar jalan raya pkl masiada,http://lh3.googleusercontent.com/sFIZL93V3NtZUbt-0K9sWeSw_dxhvAYmclb4_H8Np-HrH0hqJo-GugO6gsDzcrB9Q-P8F4URuo0nFsZ8XiWzHcRDq5Ek=s480-c,complete,13/10/2017,14/10/2017,Kaki Lima Liar,-6.162708,106.865623,Sumur Batu,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1061366,#trotoar jalan raya pkl selalu ada,http://lh3.googleusercontent.com/JbtDCo9Zs_zYxe7s8GhfbQe98xy5ZiX2q2XX4FqaBMmDtASW1OoVwCDBoEltgG3VPOPp76ebcH0bvmmRTOf0In5iaVCC=s480-c,complete,13/10/2017,28/10/2017,Kaki Lima Liar,-6.162849,106.865555,Sumur Batu,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1061368,Pkl #trotoar jalan raya selalu ada,http://lh3.googleusercontent.com/one3MOAmUv8f36dh6x5EKOGuPdmx200qdXky3JOCiwYPTz9gVxKEL6k4-G_tAm-wdiyAV2IN3PEQC5xzbRMTQxItuSXe=s480-c,complete,13/10/2017,28/10/2017,Kaki Lima Liar,-6.16306,106.86544,Sumur Batu,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1061371,#trotoar pkl jalan raya selalu ada,http://lh3.googleusercontent.com/BUq8xa2QA1GLgDbIQvuVfWGwKJFJ7rDvDwXBwcrc6tQ3Zo5ywG6CCLh6ZWE91_-WfYTvR-Vn0kzXFa_oJqjTU3BGwFzw=s480-c,complete,13/10/2017,21/11/2017,Kaki Lima Liar,-6.163394,106.865311,Sumur Batu,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1061373,#trotoar pkl jalan raya,http://lh3.googleusercontent.com/k5fAxQAOXkcRVXniwIqfVCDRSo3sRe8_hmOob15pRmX_qPW-H-zeshvE_3QNcsoumBhdfhHc-rKQKo7T9gcE6gJ8H5Y=s480-c,complete,13/10/2017,28/10/2017,Kaki Lima Liar,-6.16349,106.865311,Sumur Batu,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1061375,Selalu ada pkl jalan raya sumur batu #trotoar #atassaluran pkl,http://lh3.googleusercontent.com/3kCQKpKi6rCmXitvfTRQBJhl6TPazEBfUDZ3U_JAVRonYOxqvQ-Fr6jz0t7RYjwzkVgFzkcska07T7I1005eW1hjQ7UB=s480-c,complete,13/10/2017,21/11/2017,Kaki Lima Liar,-6.163597,106.865211,Sumur Batu,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1061396,#trotoar parkirliar,http://lh3.googleusercontent.com/7UdUDeLorkeCk6jOkg_yH7YDigr0AFaND9Lf0v0grH0aeW7_FoIKBskS6T9XY9XVodzpA3zCuW0gYMy3eOhH9zyryJuJ=s480-c,complete,13/10/2017,14/10/2017,Kaki Lima Liar,-6.163463,106.869766,Sumur Batu,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1061398,#trotoar pkl trotoar,http://lh3.googleusercontent.com/qIec41B_I2CNMKXeYuVMEMn3im1gVJCPIi1zlyv0dmRaV96BVd384KbDL5CSqSLRkZvZy0De37_bPQ-u8rRM4OFHNPlBeQ=s480-c,complete,13/10/2017,28/10/2017,Kaki Lima Liar,-6.163782,106.870293,Sumur Batu,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1061401,#trotoar pkl,http://lh3.googleusercontent.com/3SWrMTsEdBIsFHETIlZQ84sNjWhWZclZUfygpz8V6zy80SrNlBGzliIjStiHbu9nt03hgNpI46prevn9luqSjUycNqCj=s480-c,complete,13/10/2017,14/10/2017,Kaki Lima Liar,-6.164958,106.872223,Sumur Batu,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1061405,#trotoar pkl,http://lh3.googleusercontent.com/_46xTspmeTwHrnUfsEnfpy1YOR3E00ROXMgmI_rNc95EQosmNBMMcpNRLEe7T2UZSk29DP0PxLY1BSXRhMP3i-6sDNBRdw=s480-c,complete,13/10/2017,30/10/2017,Kaki Lima Liar,-6.165999,106.872581,Sumur Batu,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1061413,#trotoar pkl,http://lh3.googleusercontent.com/8eSi-l6UhUaXv7p9JOsjj-3OxwJkgOaLP36byW2Njfy7x-JpanWb8kc6vu7D1e5_HwgNjAEVhCGEUQsLPISNIJsb3zSxcQ=s480-c,complete,13/10/2017,28/10/2017,Kaki Lima Liar,-6.166646,106.872826,Sumur Batu,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1061488,Jualan bensin ilegal di #trotoar di sebelah RSCM. Harap tertibkan.,http://lh3.googleusercontent.com/Mqwk7QbcfLe0aeltjlbNNtnvV-j1PSIPwH_dSWFcdLnhqTUeckHrJovpF6TBmkpPftxm4V08pw3PIgk1yO73magCqGVGDw=s480-c,wait,13/10/2017,,Kaki Lima Liar,-6.199722,106.845276,Pegangsaan,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1062111,PKL vip abadi disepanjang Trotoar sebelum hotel mulia #trotoar,http://lh3.googleusercontent.com/cFOU-Ldb52g7CEc3lwbSOxosZFuDKDzSfTUz3NWxmOKDw7tEZgr-O_BSbc_JwiKfd6iO_w3JYhy7SUk-6tdjT3ZXIB4=s480-c,complete,14/10/2017,30/10/2017,Kaki Lima Liar,-6.216895,106.798134,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday,,,
1062114,PKL vip abadi #trotoar #PedestrianFirst,http://lh3.googleusercontent.com/Mm7aKtQoB0Y1dWzK_N0PYJ2O7q22FwLDD6TZoYzET5kQvMrY7cFxK8VIE1WEEfK804--2k3cn4lX1JQO-tBylf2LzbE=s480-c,complete,14/10/2017,30/10/2017,Kaki Lima Liar,-6.218143,106.798218,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday,,,
1062632,#trotoar #atassaluran memakan hak pejalan kaki,http://lh3.googleusercontent.com/wsfl7ijIrCs6IxkC-KLTvUtN__VdZSoi70up_DCD8os6OE9odW8yZodhqbiMbtcPBgpuU31nnvbDsVmhbKRlHH48Uv0=s480-c,complete,15/10/2017,31/10/2017,Kaki Lima Liar,-6.184101,106.812424,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Sunday,,,
1064528,Pkl #atassaluran #trotoar,http://lh3.googleusercontent.com/7o7HZdyY5FLXc4EHnlKgImQv0tu46fwyzZXUENePLPurRwPShWJTAFi4S6sfhdPWRn8IUYLkyfpDvBXTZ3p03AE116Q=s480-c,complete,19/10/2017,21/11/2017,Kaki Lima Liar,-6.162451,106.865852,Sumur Batu,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Thursday,,,
1065210,#bikinmacet #trotoar,http://lh3.googleusercontent.com/cSoW8PeagH8fyKM2nINWwsavN_IDh3R87eE1mK_E30f39_KdYv0yq32e723ZhndpgiDtiqe1wEpi7_AyeJ4vZhaETeyv=s480-c,process,20/10/2017,,Kaki Lima Liar,-6.194591,106.819946,Kebon Kacang,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1066709,#atassaluran #trotoar #bikinmacet,http://lh3.googleusercontent.com/1N_KwX0GQGcaxgoEsijU2s9wrch5DeADYm6zlBSl2rQljaNfp9uRts_sFu9h-JukE2iiyOa6JtAHlQiOZ2U5bWfUrK2i=s480-c,wait,23/10/2017,,Kaki Lima Liar,-6.16305,106.844742,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday,,,
1066714,#bikinmacet #trotoar #atassaluran tindak tegas...,http://lh3.googleusercontent.com/GAGGHuKVHmlCGqDRTJrr6eBI-PGqV6oW-vLdJzdP_xre7iqffwPzYunmqlhDcq0ITG_I9H5gLPVlvTbD2FlvNomtHmOW=s480-c,wait,23/10/2017,,Kaki Lima Liar,-6.161986,106.844406,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday,,,
1066718,#trotoar #bikinmacetkalausore #bikinmacet #atassaluran angkut dah,http://lh3.googleusercontent.com/nGWXEgz4Tq39NvezoBwBu-I1OJ_6NH_pwHe8Uul27sqw1EcgJiXw6jK0nEF32G35dppnouMtVgCofFJoJ8RfAtxBlS5F=s480-c,complete,23/10/2017,31/10/2017,Kaki Lima Liar,-6.161907,106.844391,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday,,,
1066720,#bikinmacet #trotoar #atassaluran,http://lh3.googleusercontent.com/MmvgjeXt6NTGAifbixpe_7xF-C6DgQFQqylmkjpLSL9_KLNAU8iL5LicSXp7bKGrKxMjh5oCWsyfZkiVUH-Mvk9iPPks=s480-c,wait,23/10/2017,,Kaki Lima Liar,-6.162006,106.844254,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday,,,
1066722,#bikinmacet #trotoar #atassaluran ga ada tempat parkir. Yg ada parkir di bahu jalan.  Ikin macet saja !!,http://lh3.googleusercontent.com/idcLiaUruJd9MdN3uuxdLD_3eHImSg5m59GIAxdwp3Ls3qmdhbLN6DEHLATvXXyBoCOoC4CeP3o070ir-qz-bk2d4V-9EA=s480-c,wait,23/10/2017,,Kaki Lima Liar,-6.162086,106.843948,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday,,,
1066725,#bikinmacet #trotoar #atassaluran ga ada lahan parkir..,http://lh3.googleusercontent.com/PqL4a4WTa57sbR7L-8FwasX5TS7Z2SjgwpSMVdU5OWa17mI-8JqKx8CfpupZx7Tj8JLsl9cj--QoTIqwneMz0o_aRwvEzQ=s480-c,wait,23/10/2017,,Kaki Lima Liar,-6.162125,106.843788,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday,,,
1066726,Tambal ban liar... #bikinmacet #trotoar #atassaluran,http://lh3.googleusercontent.com/0sHB8xwmG_SKM5ah6ggKO2V3YFXRg088DV42ouoVzcb5UzLO2tntLV8bWw0TjYsSQBIg0MOxumy7rKarLq3QKa8zQpk=s480-c,wait,23/10/2017,,Kaki Lima Liar,-6.162216,106.843674,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday,,,
1066727,#bikinmacet #trotoar #atassaluran ga ada lahan parkir,http://lh3.googleusercontent.com/XVOxVyy4b00l5WksSi7_LSnxTB1Kt9rwlkRgd_yPepH9CXer3Hn9_icOT3iuE6LZ6w0ALK891AT5eCH9iR38npZ2Xbg3=s480-c,wait,23/10/2017,,Kaki Lima Liar,-6.162224,106.843491,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday,,,
1066728,#bikinmacet #trotoar #atassaluran ga ada lahan parkir,http://lh3.googleusercontent.com/bBoSS8hmiAlNmQ1xkKcU4TbVrjJ_5Im14w81F4PlvDiM06R0Q0RS6Re-DZ14pCwRRQ5R1HF14b_-cW4-4Z1uvIRtmUU=s480-c,wait,23/10/2017,,Kaki Lima Liar,-6.162225,106.84346,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday,,,
1066729,#bikinmacet #trotoar #atassaluran ga ada lahan parkir,http://lh3.googleusercontent.com/52kKswlsCiBnpDUpp910zk5PS1GYOShWg8tEy31NvllT-h1f-yjEsT6SoIlSQ3_XyLCUb3-gx2BprNJF0GVyaW7qQ2sA1Q=s480-c,complete,23/10/2017,31/10/2017,Kaki Lima Liar,-6.162203,106.843323,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday,,,
1066733,#bikinmacet #trotoar #atassaluran ga ada lahan parkir,http://lh3.googleusercontent.com/eyLaB0XMtVEW-7bz8cY8V-72Ckxz79epq8g0gaWEJWI2dnQZv7p1U3DKBQtuZrwW7nuVQ8DJz-kKhmNVnGCXrdhOi_Y=s480-c,wait,23/10/2017,,Kaki Lima Liar,-6.162314,106.843353,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday,,,
1066907,#trotoar nya mana,http://lh3.googleusercontent.com/LJp94yFChNKGGCGv16yP57W5Uf0Z2RWlR6Kjyj6kl6NlxKZIt-wtkyjxdtu5UJ-A6tPrcw2HtQ8IyKfaLMTfVXRKKHKT=s480-c,process,23/10/2017,,Kaki Lima Liar,-6.194705,106.81987,Kebon Kacang,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday,,,
1067167,#trotoar kurang indah di lihat depan toko dan buat jalan jadi sempit,http://lh3.googleusercontent.com/pFUuLZd-NPAnvo663saqZQ4bbnnhJFjaE7_XGZICGb1SlUtYgpBZIwWQTeUEVOXjUoDIMwrhGNzo0HhF22ac7QEK7UI=s480-c,wait,24/10/2017,,Kaki Lima Liar,-6.163348,106.83287,Pasar Baru,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday,,,
1067466,#trotoar nya mana,http://lh3.googleusercontent.com/GuB4F3Mp1-Rklsknf5BysBf-GLXgVuDFe0bOjfBcESbaoSwHALCANKeYdGyUHhQjdwLwgLUq8V2hNzuaj3Jhwgm_gpA=s480-c,wait,25/10/2017,,Kaki Lima Liar,-6.194692,106.820023,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday,,,
1068730,#trotoar mana trotoar utk pejalan kaki???,http://lh3.googleusercontent.com/1BHtrLWsV7F1r5QM20c7VZG-hRKAXcOfg_100PswoaVxwdvWxvtIXc_rkhTcmrWXuufKUdjNgcbMQtwy8I0ImL9-mbk=s480-c,wait,27/10/2017,,Kaki Lima Liar,-6.184985,106.825111,Kebon Sirih,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1068875,Jualan di trotoar,http://lh3.googleusercontent.com/CcALZVaqzRVA6JAD2mySfFwpJmI4hmyQJDsfFwwjeA2Wn6zOP32ReqoXG9igNRR1MRdhO77uoB3sFK6G6J9Z-WdlOXf3=s480-c,complete,27/10/2017,29/10/2017,Kaki Lima Liar,-6.18733,106.817139,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1069065,"plaza indonesia
#trotoar nya mana",http://lh3.googleusercontent.com/HsDgHWUhorMrldMTrcFdGxJKcdrfmbqoEsMJySIv046ZffrB_zbo9pzryKQqV9LMb-aYX9Iahw8nZAOh4SguxrGODN0=s480-c,wait,27/10/2017,,Kaki Lima Liar,-6.19391,106.821259,Gondangdia,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1069143,"#trotoar #bikinmacet,  sebenarnya trotoar itu buat pejalan kaki atau buat dagang ya,  sama aja donk di buat trotoar kalau pejalan kaki jalan nya tidak bisa alias sempit atau berdesak desak an. Tolong di TL. Thanks",http://qlueinvideos.storage.googleapis.com/59f3fcf4254a4.mp4,complete,28/10/2017,29/10/2017,Kaki Lima Liar,-6.184793,106.811142,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday,,,
1069277,"Tanah Abang semrawut lagi PKL sudah mulai bebas berdagang di badan jalan, di trotoar dan menimbulkan kemacetan, Bukannya masih Bulan tertib Trotoar ? sampah berserakan",http://lh3.googleusercontent.com/sNcbP0milTZ01n3KuEMxSwzM4PDjCwTDUFjOyo6ZynuMxRVVMOeyA73o1wBL1tVEFSfKdATubotI0NYDHRKNiiam0eJ-=s480-c,complete,28/10/2017,31/10/2017,Kaki Lima Liar,-6.188443,106.812691,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday,,,
1069360,#trotoar tolong di TL pedagang kaki lima sudah mulai bermunculan.    Tolong Fungsikan  Trotoar buat pejalan kaki bukan buat dagang... .. Jadi keliatan kumuh sekarang.     Thanks,http://qlueinvideos.storage.googleapis.com/59f443ee4bcda.mp4,wait,28/10/2017,,Kaki Lima Liar,-6.170255,106.803932,Cideng,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday,,,
1071200,pkl #trotoar #atassaluran,http://lh3.googleusercontent.com/X_C7coBIi8MiXacddqNll4dGCC7V8FOy_HuvbSaaCGZh7n6IvYYkVuNqmPXVkW1L0QeHFcyRFwupQNlG8MbUmiShkIJufQ=s480-c,wait,01/11/2017,,Kaki Lima Liar,-6.169219,106.870705,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday,,,
1071203,pkl #atassaluran #trotoar,http://lh3.googleusercontent.com/2DCkHWzO-yOPEuxN8F63QCxf5OToKCDUkGxhsHoFi9uxrx-5siP72DPpeMGfy8gPnRzvZ6RHpsLWO4cHEzYyb7eYejo=s480-c,wait,01/11/2017,,Kaki Lima Liar,-6.169754,106.870995,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday,,,
1071642,#trotoar #atassaluran,http://lh3.googleusercontent.com/Ev4ogM7RGzjFstW7cAvth6sDZBSig-wNr6ImW5AihzMhjK4JVvI15vhB3VFFSA624Biqv2Irw7AFWQN1mSp1f7A7-D34=s480-c,wait,02/11/2017,,Kaki Lima Liar,-6.140083,106.822548,Mangga Dua Selatan,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Thursday,,,
1071643,PKL malam hari #trotoar #atassaluran,http://lh3.googleusercontent.com/1Rxp2r52jIck9j5GDV-qTRVxNzQjJ7yOEn2vL_KkJNnfhzGYT5EgAjjSiyy58QuT53y5-tIKVndcLJhCaidNZE4Pz9JE=s480-c,wait,02/11/2017,,Kaki Lima Liar,-6.139723,106.822464,Mangga Dua Selatan,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Thursday,,,
1072086,Is kaki lima liar...bikin kotor #trotoar,http://lh3.googleusercontent.com/xUJb35hR7y-IDkRLhKDAzZgTsoPebrOOoXf6qTBtGvOC5k_O7zO9mU9H5mnL9s25eQmeLfExMSOJIzK9ffEkqmP3w7Khgg=s480-c,complete,03/11/2017,13/11/2017,Kaki Lima Liar,-6.187367,106.825882,Gondangdia,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1072101,"sangat menganggu aktifitas dan lahan pemilik ingin mengunakan tetapi pedagang liar tdk angkat kaki
sdh beberapa kali dibicarakan baik2 tetapi tetep berjualan di trotoar...",http://lh3.googleusercontent.com/MnMZ8D-95gCqiwkxw-7WNuU4HThY7TZT6jY_mx_jfV_Lhum3HjR_z-9cUxK2biiTGbA92aQO3Y84HKFBaZPDRGdHncba=s480-c,wait,03/11/2017,,Kaki Lima Liar,-6.205778,106.816628,Karet Tengsin,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
